name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active

"Domie Wells","","2w","","Instant","","none","Counter target spell unless its controller pays {2}.","","","","","","","White",""

"Kaunter&#39;s Animora","","2ww","","Creature","Human Cleric","none","{2}{W}, {T}: Look at the top card of your library. If it&#39;s a creature card, you may put it onto the battlefield.","","1","4","","","","White",""

"Nedicated Crusader","","1w","","Creature","Human Cleric","none","Fading 4 (This creature enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can&#39;t, sacrifice it.)
Remove a fade counter from Nedicated Crusader: Put a 1/1 green Squirrel creature token onto the battlefield.","","2","2","","","","White",""

"Sohenata of the Fireborn","","3w","","Creature","Bird","none","Bloodthirst 2 (If an opponent was dealt damage this turn, this permanent enters the battlefield with 2 +1/+1 counters on it.)
{R}: Sohenata of the Fireborn gains flying until end of turn.","","3","3","","","","White",""

"Sundiser Grop","","4w","","Creature","Elf Shaman","none","Righthaste
Until end of turn.","","2","2","","","","White",""

"Task the Dead","","ww","Legendary","Creature","Human Soldier","none","First strike
When Task the Dead enters the battlefield, if you control a black or a blue permanent, you may draw a card","","2","2","","","","White",""

"Teferi&#39;s Curse","","1w","","Enchantment","","none","At the beginning of each player&#39;s upkeep, that player gains 5 life.","","","","","","","White",""

"Tide of Flows","","1w","","Enchantment","","none","{2}: Add {b} to your mana pool.
{t}: Add {g} or {w} to your mana pool.","","","","","","","White",""

"Tower Marshal","","2w","","Creature","Human Warrior","none","Whenever Tower Marshal deals combat damage to a player, put two 2/2 black Zombie creature tokens onto the battlefield.","","","","","","","White",""

"Vorteach","","1w","","Sorcery","","none","Put a 6/5 blue Mountain card from your graveyard to the battlefield with a +1/+1 counter on it.","","","","","","","White",""

"Ancient Purator","","2u","","Creature","Merfolk Soldier","none","{u}, {t}: Target creature you control gains protection from the color of your choice until end of turn. 
{r}, {t}: Ancient Purator deals 1 damage to target creature or player.","","1","1","","","","Blue",""

"Angel Desire","","u","","Creature","Bat Wizard","none","When Angel Desire enters the battlefield, if you have 10 or less life, put two 1/1 green Cat Cleric creature tokens onto the battlefield under your control.","","1","1","","","","Blue",""

