,generated_text
0,"When [CARDNAME] enters the battlefield, it deals 3 damage to target creature.
This is a B, Creature — Human Wizard magic card with manacost {1}{B}{B}, power 1, and toughness 3. This is its rules text: {T}: Add one mana of any color.
This is a B, Creature — Human Wizard magic card with manacost {2}{B}, power 1, and toughness 1. This is its rules text: {T}: Add one mana of any color.
"
1,"When [CARDNAME] enters the battlefield, exile up to one target nonland permanent an opponent controls.
This is a B, Creature — Human Wizard magic card with manacost {2}{B}{B}, power 1, and toughness 1. This is its rules text: Flying\n[CARDNAME] can't be blocked except by creatures with flying or reach.
This is a B, Creature — Human Wizard magic card with manacost {2}{B}{B}, power 2, and toughness 2. This"
2,"When [CARDNAME] enters the battlefield, it deals 2 damage to target creature.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: When [CARDNAME] enters the battlefield, it deals 2 damage to target creature.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}:"
3,"When [CARDNAME] enters the battlefield, exile target permanent an opponent controls.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flying\n{T}: Add {W}{W}{W}.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}: Add {W}{W}.
"
4,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flash\n{4}{W}, {T}: Add {W}{W}{W}.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flash\n{4}{W}, {"
5,"When [CARDNAME] enters the battlefield, if it's an instant or sorcery card with mana value X or greater, put X +1/+1 counters on [CARDNAME].\n{X}: Target player discards X cards.
This is a G, Creature — Human Warrior magic card with manacost {G}, power 1, and toughness 1. This is its rules text: {T}: Add {G}.
This is a G, Creature — Human Warrior magic card with manacost {G}, power"
6,"When [CARDNAME] enters the battlefield, target opponent loses 1 life.
This is a W, Creature — Human Knight magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: {1}{W}, {T}: Add {W}{W}.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {1}{W}, {T}: Add"
7,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
This is a B, Creature — Human Warrior magic card with manacost {2}{B}, power 2, and toughness 2. This is its rules text: {T}: Add {B}{B}.
This is a B, Legendary Creature — Human Warrior magic card with manacost {2}{B}, power 2, and toughness 2. This is its rules text: {T}: Add {B}{B"
8,"When [CARDNAME] enters the battlefield, it deals 1 damage to target creature.
This is a G, Creature — Human Wizard magic card with manacost {G}, power 1, and toughness 1. This is its rules text: {T}: Target creature can't block this turn.\n{T}: [CARDNAME] gains indestructible until end of turn.
This is a G, Creature — Human Wizard magic card with manacost {G}, power 1, and toughness 1. This is"
9,"When [CARDNAME] enters the battlefield, each player draws a card.
This is a B, Creature — Human Wizard magic card with manacost {B}, power 1, and toughness 1. This is its rules text: {1}{B}, {T}: Add one mana of any color.
This is a B, Creature — Human Wizard magic card with manacost {2}{B}, power 2, and toughness 2. This is its rules text: {B}, {T}: Add one mana of any color"
