,generated_text
0,"When [CARDNAME] enters the battlefield, you become the monarch.\nWhen [CARDNAME] leaves the battlefield, the monarch becomes the monarch.
This is a W, Enchantment magic card with manacost {1}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\nEnchanted creature gets -2/-2.
This is a W, Enchantment magic card with manacost {1}{W}. This is its"
1,"When [CARDNAME] enters the battlefield, you may put a quest counter on [CARDNAME], then it deals 2 damage to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: {1}, Discard a card: You may draw a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: {1}, Discard a card: You may draw a card."
2,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -1/-1.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W"
3,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying.\n{1}{W}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost {3}{W}{W}. This is"
4,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.\nWhen [CARDNAME] leaves the battlefield, it deals 1 damage to any target.
This is a U, W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a U, W, Enchantment magic card with manacost {2}{W}. This is its rules text"
5,"When [CARDNAME] enters the battlefield, choose a creature type.\nCreatures you control can't attack or block, and their activated abilities can't be activated.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying and haste.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEn"
6,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has menace"
7,"When [CARDNAME] enters the battlefield, return target nonland permanent to its owner's hand.
This is a G, Enchantment magic card with manacost {1}{G}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.\n{1}{G}: Return [CARDNAME] to its owner's hand.
This is a G, Enchantment magic card with manacost {2}{G}. This is its rules text: Enchant creature\nEnchanted"
8,"When [CARDNAME] enters the battlefield, it deals 4 damage to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchantment magic"
9,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on each creature you control.
This is a R, Enchantment magic card with manacost {2}{R}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.
This is a R, Enchantment magic card with manacost {3}{R}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has vigilance.
This is a"
10,"When [CARDNAME] enters the battlefield, create two 1/1 white Spirit creature tokens with flying.\nWhen [CARDNAME] leaves the battlefield, create two 1/1 white Spirit creature tokens with flying.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W, Enchantment magic card with manacost {2}{W}. This"
11,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has trample.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has"
12,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has lifelink and ""Whenever this creature attacks, you may put a quest counter on this permanent.""
This is a W, Enchantment magic card with manacost {1}{W}. This is its"
13,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W, Enchantment magic card with man"
14,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+0 and has haste.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste"
15,"When [CARDNAME] enters the battlefield, you may exile target nonland card from your graveyard.\nAt the beginning of the end step, if you control a creature with power 4 or greater, exile that creature. If you do, sacrifice [CARDNAME]. If you don't, return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+"
16,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+2 and has haste.
"
17,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield. [CARDNAME] deals 1 damage to that creature.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text"
18,"When [CARDNAME] enters the battlefield, draw a card.\n{2}{G}: Regenerate [CARDNAME].
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has trample, haste, and ""Whenever this creature attacks, you may draw a card.""
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text"
19,"When [CARDNAME] enters the battlefield, create a 1/1 white Spirit creature token with flying.\nCreatures you control get +1/+1.
This is a W, Enchantment magic card with manacost {1}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets"
20,"When [CARDNAME] enters the battlefield, it deals damage to each creature and each player equal to its power.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has vigilance.
This is"
21,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.\nWhenever enchanted creature deals damage, you may draw a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its"
22,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.\n{W}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost {W}. This is its rules text:"
23,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a B, Enchantment magic card with manacost {3}{B}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a B, Enchantment magic card with manacost {B}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
"
24,"When [CARDNAME] enters the battlefield, create a 1/1 white Soldier creature token with flying.\nAt the beginning of your upkeep, if you have no cards in hand, sacrifice [CARDNAME]. If you do, create a 1/1 white Soldier creature token with flying.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W"
25,"When [CARDNAME] enters the battlefield, you draw a card.\nCreatures you control get +1/+1.
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Whenever a creature enters the battlefield under your control, you may put a +1/+1 counter on that creature.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nWhen [CARDNAME"
26,"When [CARDNAME] enters the battlefield, draw a card.\nCreatures you control get +1/+1.
This is a U, Enchantment magic card with manacost {4}{U}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has ""Whenever this creature deals combat damage to a player, that player loses 1 life.""
This is a U, Enchantment magic card with manacost {U}. This is its rules text: Enchant creature\n"
27,"When [CARDNAME] enters the battlefield, choose a creature type.\nAs long as it has base power and toughness 4/4, it becomes a 2/2 creature with flying.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n{2}{W}: Add {W}{W}.
This is a W, Enchantment magic card with manacost {"
28,"When [CARDNAME] enters the battlefield, draw a card.\nWhenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card.
This is a B, W, Enchantment magic card with manacost {1}{W}{B}. This is its rules text: Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text"
29,"When [CARDNAME] enters the battlefield, create a Treasure token with manacost {3}{G}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has trample.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has vigilance.
This is a W, Enchantment magic card with manacost {2}{W}. This is its"
30,"When [CARDNAME] enters the battlefield, create a 1/1 green Squirrel creature token with flying.\n• Create a 1/1 green Squirrel creature token with flying.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.\n{4}{W}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with man"
31,"When [CARDNAME] enters the battlefield, you may put a +1/+1 counter on each creature you control.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has ""Whenever this creature deals damage to a player, you may draw a card.""\nEnchanted creature gets +2/+3 and has ""{T}: Add one mana of any color.""
This is a W, Enchant"
32,"When [CARDNAME] enters the battlefield, if it's a creature, it becomes a copy of target creature.
This is a W, Enchantment magic card with manacost {W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W"
33,"When [CARDNAME] enters the battlefield, draw a card.\nWhen [CARDNAME] leaves the battlefield, draw a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and"
34,"When [CARDNAME] enters the battlefield, you choose a creature type.\nYou may cast spells as though they had flash.\n{1}{W}: Put a +1/+1 counter on target creature you control.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Whenever a creature you control attacks, you may draw a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules"
35,"When [CARDNAME] enters the battlefield, create a 4/4 white Angel creature token with flying.\nAt the beginning of each end step, if [CARDNAME] has three or more +1/+1 counters on it, sacrifice it and draw a card.
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -1/-1.
This is a W, Enchantment magic card with manacost"
36,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste"
37,"When [CARDNAME] enters the battlefield, target opponent loses 1 life and you gain 1 life.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nWhen [CARDNAME] enters the battlefield, enchanted creature gets +1/+1 until end of turn.\nEnchanted creature gets +1/+1 as long as it's black.
This is a W, Enchantment magic card with manacost {1}{W}. This"
38,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
This is a B, G, Enchantment magic card with manacost {1}{B}{G}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying, haste, and ""Whenever this creature deals damage to a player, that player loses 1 life and you gain 1 life.""
This is a B, G, Enchantment magic card with manacost {1}{B}{G"
39,"When [CARDNAME] enters the battlefield, choose a creature type. It gains haste as long as it's a creature type.\nAt the beginning of the end step, if [CARDNAME] has no cards in it, sacrifice it and return it to the battlefield under its owner's control.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying and haste.
This is"
40,"When [CARDNAME] enters the battlefield, choose a card name.\nAt the beginning of the end step, if no cards are in a graveyard, sacrifice [CARDNAME]. If a card is in a graveyard, exile it and attach [CARDNAME] to it.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has trample.\nAt the beginning of the end"
41,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying and haste.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying"
42,"When [CARDNAME] enters the battlefield, draw a card.\nWhenever a creature you control attacks, draw a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.\nAt the beginning of the end step, if [CARDNAME] is put into a graveyard from the battlefield, return [CARDNAME] to its owner's hand.
This is a"
43,"When [CARDNAME] enters the battlefield, target opponent loses 2 life unless they discard a card.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +3/+3 and has flying.
This is a W,"
44,"When [CARDNAME] enters the battlefield, create a 1/1 white Spirit creature token with flying.\nWhenever you cast an instant or sorcery spell, create a 2/2 white Spirit creature token with flying.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n{1}{W}: Tap enchanted creature.
This is a W, Enchantment magic card"
