,generated_text
0,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {W}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)
This is a nan, Land magic card with manac"
1,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manac"
2,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manac"
3,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manac"
4,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manac"
5,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)
This is a nan, Land magic card with manac"
6,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manac"
7,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manac"
8,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manac"
9,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manac"
10,"{T}.)\n{T}: Add {U} or {R}.
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)\n{T}: Add {B} or {R}.
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {U}.)\n{T}: Add {B} or {R}.
This"
11,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {G}.)
This is a nan, Land magic card with manac"
12,"{T}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manacost nan. This is its rules text: ({T}: Add {R}.)
This is a nan, Land magic card with manac"
