,generated_text
0,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Choose two —\n• Destroy target creature.\n• Destroy target enchantment.\n• Destroy target enchantment.\n• Destroy target artifact.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Destroy all enchantments.
This is a R, Sorcery magic card with manacost {"
1,"A man who has been shot in the back by a man who was trying to attack him has died.
This is a B, Sorcery magic card with manacost {B}{B}. This is its rules text: Each player chooses a card from a graveyard and puts it into their hand. The player who chose the graveyard chooses the card, then sacrifices the card. The player who chose the graveyard chooses the card.
This is a B, Sorcery magic card with manacost"
2,"TIP: If you've been playing Magic for a while, you may be able to cast your spells with your commander instead of attacking this turn.
This is a U, Instant magic card with manacost {U}. This is its rules text: Choose one —\n• Counter target spell.\n• Destroy target enchantment.
This is a U, Instant magic card with manacost {1}{U}. This is its rules text: Choose one —\n• Destroy"
3,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Target player reveals their hand.\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target enchantment.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Exile target nonland permanent. Then return a creature card from your graveyard to the battlefield tapped.
"
4,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures."
5,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 2 damage to target creature.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Create two 1/1 white and green Bear creature tokens.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals"
6,"This is a R, Instant magic card with manacost {R}. This is its rules text: Exile the top three cards of your library. You may cast spells from among them without paying their mana costs.\nFlashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
This is a R, Instant magic card with manacost {3}{R}. This is its rules text: Exile the top three"
7,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target creature.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Destroy all enchantments.\n• Draw two cards.\n• Destroy target artifact.
This is a R, Sorcery magic card"
8,"U.S. Army
This is a U.S. Army non-combatant nonland permanent card with manacost {1}{U}{U}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target artifact with mana value 4 or greater.
This is a U.S. Army non-combatant nonland permanent card with manacost {2}{U}{U}. This is its"
9,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy all creatures.\n• Destroy all creatures with power 2 or less.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Choose one —\n• Destroy all creatures.\n• Destroy all creatures with power 2 or less.
This is a R, Instant magic card"
10,"A man who is a member of the Army or a high-ranking Army official may not be able to take a special step that is not a step beyond the Army's authorized steps.
This is a R, Sorcery magic card with manacost {R}{R}. This is its rules text: Each player chooses a creature they control. They choose one of those creatures. That creature becomes the chosen creature until end of turn.
This is a R, Sorcery magic card with man"
11,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Target player gains 3 life.\n• Target creature gets +3/+3 until end of turn.\n• Target creature gets +2/+2 until end of turn.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Sor"
12,"The game is divided into three phases, with each phase being a game of choice.
This is a R, Sorcery magic card with manacost {3}{R}{R}. This is its rules text: Destroy all creatures.
This is a R, Instant magic card with manacost {R}. This is its rules text: Target creature gets +3/+0 until end of turn.
This is a R, Sorcery magic card with manacost {2}{R"
13,"A man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and killed by a man who was shot and died is being treated for life with life-threatening injuries.
This is a R, Instant magic card with manacost {R}. This is"
14,"This is a B, Sorcery magic card with manacost {2}{B}. This is its rules text: Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.\nDestroy target creature. It has haste until end of turn.
This is a B, Sorcery magic card with manacost {3}{B}. This is its rules text: Exile all creatures. They can't be regenerated.
This is"
15,"A man who has been suspended from the U.S. Army for three years for putting a man on a horse and then putting the horse on its back is an Army veteran and U.S. Army veteran.
This is a U.S. Army story. For more information, go to https://www.legisadvancemedia.com/cgi-bin/nfc/nfc-nfc-2.swf?nfc_id=857&nfc"
16,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Each player sacrifices a creature.\nDraw a card.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Each player sacrifices a creature.\nDraw a card.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player discards two cards"
17,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Return target creature card from your graveyard to your hand.\n• Return target creature card from your graveyard to your hand.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with"
18,"Wizards are creatures that can't be regenerated.
This is a W, Sorcery magic card with manacost {2}{W}. This is its rules text: Each player chooses a creature they control. Creatures that player controls get +1/+1 until end of turn.
This is a W, Sorcery magic card with manacost {2}{W}{W}. This is its rules text: Each player sacrifices a creature.
This is a W, Sorcery magic"
19,"It's a G, Instant magic card with manacost {G}. This is its rules text: Choose one —\n• Target player gains 3 life.\n• Destroy target creature with power 4 or greater.\n• Destroy target creature with toughness 4 or greater.
This is a G, Sorcery magic card with manacost {3}{G}. This is its rules text: Choose one —\n• Destroy target creature with power 4 or greater.\n•"
